ITEM,confirmed,deaths
2020-06-07,20342,357
2020-06-08,20917,369
2020-06-09,21459,384
2020-06-10,22142,405
2020-06-11,22890,426
2020-06-12,23546,446
2020-06-13,24102,451
2020-06-14,24766,471
2020-06-15,25527,478
2020-06-16,26310,491
2020-06-17,26874,504
2020-06-18,27532,546
2020-06-19,27878,548
2020-06-20,28424,569
2020-06-21,28833,581
2020-06-22,29157,598
2020-06-23,29481,618
2020-06-24,29640,639
2020-06-25,30175,675
2020-06-26,30451,683
2020-06-27,30616,703
2020-06-28,30967,721
2020-06-29,31238,733
2020-06-30,31517,746
2020-07-01,31836,774
2020-07-02,32022,807
2020-07-03,32324,819
2020-07-04,32672,826
2020-07-05,32951,864
2020-07-06,33190,898
2020-07-07,33384,920
2020-07-08,33594,936
2020-07-09,33908,957
2020-07-10,34194,971
2020-07-11,34366,994
2020-07-12,34451,1010
2020-07-13,34455,1012
2020-07-14,34740,1048
2020-07-15,34994,1094
2020-07-16,35070,1113
2020-07-17,35229,1147
2020-07-18,35301,1164
2020-07-19,35475,1181
2020-07-20,35526,1185
2020-07-21,35615,1186
2020-07-22,35727,1190
2020-07-23,35928,1211
2020-07-24,35981,1225
2020-07-25,36036,1248
2020-07-26,36157,1259
2020-07-27,36263,1269
2020-07-28,36368,1270
2020-07-29,36471,1271
2020-07-30,36542,1271
2020-07-31,36675,1272
2020-08-01,36710,1283
2020-08-02,36710,1284
2020-08-03,36747,1288
2020-08-04,36782,1288
2020-08-05,36829,1294
2020-08-06,36896,1298
2020-08-07,37015,1307
2020-08-08,37054,1312
2020-08-09,37054,1312
2020-08-10,37162,1328
2020-08-11,37269,1344
2020-08-12,37345,1354
2020-08-13,37424,1363
2020-08-14,37431,1363
2020-08-15,37551,1370
2020-08-16,37596,1375
2020-08-17,37599,1375
2020-08-18,37599,1375
2020-08-19,37599,1375
2020-08-20,37856,1385
2020-08-21,37894,1385
2020-08-22,37953,1385
2020-08-23,37999,1387
2020-08-24,38054,1389
2020-08-25,38070,1397
2020-08-26,38113,1401
2020-08-27,38129,1401
2020-08-28,38140,1402
2020-08-29,38143,1402
2020-08-30,38162,1402
2020-08-31,38165,1402
2020-09-01,38196,1406
2020-09-02,38243,1409
2020-09-03,38288,1409
2020-09-04,38304,1409
2020-09-05,38324,1409
2020-09-06,38398,1412
2020-09-07,38494,1415
2020-09-08,38520,1418
2020-09-09,38544,1420
2020-09-10,38572,1420
2020-09-11,38606,1420
2020-09-12,38641,1420
2020-09-13,38716,1420
2020-09-14,38772,1425
2020-09-15,38815,1426
2020-09-16,38855,1436
2020-09-17,38872,1436
2020-09-18,38883,1437
2020-09-19,38919,1437
2020-09-20,39044,1441
2020-09-21,39074,1444
2020-09-22,39096,1445
2020-09-23,39145,1446
2020-09-24,39170,1451
2020-09-25,39186,1451
2020-09-26,39192,1453
2020-09-27,39227,1453
2020-09-28,39233,1455
2020-09-29,39254,1458
2020-09-30,39268,1458
2020-10-01,39285,1458
2020-10-02,39290,1458
2020-10-03,39297,1462
2020-10-04,39341,1462
2020-10-05,39422,1466
2020-10-06,39486,1467
2020-10-07,39548,1469
2020-10-08,39616,1470
2020-10-09,39693,1472
2020-10-10,39703,1473
2020-10-11,39799,1477
2020-10-12,39870,1479
2020-10-13,39928,1480
2020-10-14,39994,1481
2020-10-15,40026,1481
2020-10-16,40073,1485
2020-10-17,40141,1488
2020-10-18,40200,1492
2020-10-19,40287,1497
2020-10-20,40357,1499

